		Analysemetode_id														Analysemetode_id	BTZ	BTZ	BTZ	BTZ	BTZ	BTZ	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	SDPA	LEGE	LEGE	PEST	PEST	PEST	SURF	SURF	SURF	SURF	SVOC	SVOC	SVOC	SVOC	BIS	BIS	BIS	BIS	BIS	BIS	BIS	VOC	VOC	VOC	VOC	VOC	VOC	PFAS	PFAS	PFAS	PFAS	PFAS	SIL	SIL	SIL	SIL	SIL	LCCP
NR-2022-06794	Sediment	ng/g		"N 6644278.52; E 602600.1"			10.05.2022	Breivoll	Urban river					Grabb			<1	6.176	<1	1.765	5.000	3.529	<1	12.647	31.765	<1	<1	<1	364.706	<1	<1	<1	<10	<1	<1	<1	<1	<1	172.647	111.176	<1	<1	<1	<1	<1	<1	<10	<1	<1																												2338.001
NR-2022-06804	Sediment	ng/g		"N 6644278.52; E 602600.1"			12.09.2022	Breivoll	Urban river					Grabb			<1	5.405	<1	1.892	4.865	1.622	<1	12.432	26.757	<1	<1	<1	324.324	<1	<1	<1	<10	<1	<1	<1	<1	<1	168.378	55.676	<1	<1	<1	<1	<1	<1	<10	<1	<1																												3279.087
NR-2022-06801	Sediment	ng/g		"N 6642145.02; E 600216.99"			44706???	Kv‘rner	Urban river					Grabb			<1	2.286	<1	<1	<1	<1	<1	3.143	<1	<1	<1	<1	56.000	<1	<1	<1	<10	<1	<1	<1	<1	<1	84.286	6.286	<1	<1	<1	<1	<1	<1	<10	<1	<1																												470.008
NR-2022-06806	Sediment	ng/g		"N 6642145.02; E 600216.99"			12.09.2022	Kv‘rner	Urban river					Grabb			<1	13.030	<1	1.515	3.333	7.879	<1	17.576	<1	<1	<1	<1	293.636	<1	<1	<1	<10	<1	<1	<1	<1	<1	403.030	54.848	<1	<1	<1	<1	<1	<1	<10	<1	<1																		< 0.1	< 0.1	< 0.1	< 0.1	< 0.1	< 2.5	< 30	< 40	< 30	< 20	4872.391
NR-2022-06820	Sediment	ng/g		"N 6647788.74; E 604198.27"			03.11.2022	Kalbakken	Urban river					Grabb			<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	3.750	<1	<1	<1	<10	<1	<1	<1	<1	<1	13.438	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																		< 0.1	< 0.1	< 0.1	< 0.1	< 0.1						34.966
NR-2022-06815	Sediment	ng/g		"N 6647788.74; E 604198.27"			26.10.2022	Kalbakken	Urban river					Grabb			<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	3.438	<1	<1	<1	<10	<1	<1	<1	<1	<1	21.250	<1	<1	<1	<1	<1	<1	<1	<10	<1	<1																		< 0.1	< 0.1	< 0.1	< 0.1	< 0.1						99.647
NR-2022-06905	Water, total	ng/L		"N 6646841.52; E 604962.51"			26.10.2022 kl 11.10	Brubak	Urban river			Dry	Dry	column			<1	23.500	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	8.100	<1	<1	<1	<10	<1	<1	<1	<1	25.500	21.300	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	0.033	0.544	< 2	<0.1	<0.6	<0.7	<0.2	<2.7	<0.4	<0.1	27.922	1424.841	<0.21	1.700	<0.6	<0.33											
NR-2022-06872	Water, total	ng/L		"N 6646841.52; E 604962.51"			44817.000	Brubak	Urban river			Wet	?	column			<1	120.500	<1	<1	10.500	<1	<1	<1	<1	<1	<1	<1	52.900	<1	<1	<1	<10	<1	<1	<1	<1	58.100	185.500	<1	<1	<1	<1	<0.1	<10	5.500	<10	<1	<1																												
NR-2022-06906	Water, total	ng/L		"N 6644278.52; E 602600.1"			26.10.2022 kl 11.30	Breivoll	Urban river			Dry	Dry	column			<1	29.500	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	7.500	<1	<1	<1	<10	<1	<1	<1	<1	<1	29.500	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	0.057	0.526	< 2	<0.1	<0.5	<0.6	<0.2	<0.5	<0.3	<0.1	50.915	1381.722	<0.21	0.653	<0.6	0.970											
NR-2022-06873	Water, total	ng/L		"N 6644278.52; E 602600.1"			44817.000	Breivoll	Urban river			Wet	?	column			<1	213.000	<1	<1	17.900	<1	<1	<1	<1	<1	<1	<1	20.500	<1	<1	<1	<10	<1	<1	<1	<1	90.500	268.000	<1	<1	<1	<1	<0.1	<10	11.000	<10	<1	<1																												
NR-2022-06907	Water, total	ng/L		"N 6642145.02; E 600216.99"			26.10.2022 kl 11.55	Kv‘rner	Urban river			Dry	Dry	column			<1	44.500	<1	<1	8.100	<1	<1	<1	<1	<1	<1	<1	14.500	<1	<1	<1	<10	<1	<1	<1	<1	40.900	42.800	<1	<1	<1	<1	<0.1	<10	<1	<10	<1	<1	< 0.5	0.029	1.169	< 2	<0.1	<0.3	<0.4	<0.2	<0.3	<0.2	<0.1	24.569	1327.346	<0.21	0.703	<0.6	<0.33											
