Provenr	Medium_id	Enhet_id	Site_name	Site_Category	Comment_location	Comment_season	Comment_condition	Site_Comment	compound	value	Medium_id2	lodcount	n	det_frac	plotting	meanx
NR-2022-06799	Sludge (ng/g, d.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Manhole	NA	NA	kum	IPPD	29.063	Solids	0	3	100	29.063	945.7503333
NR-2022-06800	Sludge (ng/g, d.w.)	ng/g	Bamble_Skjerk?ya	Tyre collection site	Manhole	NA	NA	kum	IPPD	1030.769	Solids	0	3	100	1030.769	945.7503333
NR-2022-06884	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	Start	Pumpesump under vask - START	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-06923	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	Start	Pumpesump under vask - START	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06885	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 1	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-06924	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 1	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06886	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 2	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-06925	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	During	Pumpesump under vask - UNDERVEIS 2	IPPD	<50	Water	16	16	0	NA	NA
NR-2022-06887	Water, filtered (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 1	IPPD	<50	Water	14	14	0	NA	NA
NR-2022-06926	Water, particles (ng/L)	ng/L	V?lerengatunnelen	Tunnel environment	Pump basin	NA	End	Pumpesump under vask - SLUTT 1	IPPD	<50	Water	16	16	0	NA	NA
