Provenr	Medium_id	Enhet_id	Coordites	Vannlok_kode	Aktivitet_id	Tid_provetak	Site_me	Site_Category	Site_Comment	Season_Comment	Provetakmetode_id		Short	ABT	BTSA	MTBT	PhBT	OHBT	MBT	CPPD	6PPDq	DPPD	DNPD	IPPD	77PD	6PPD	7PPD	44PD	MTDID	NDPD	MPAMS	BPSE	PPPA	BOPA	TMMAT	DPG	TMQ	Amitryptyline	Fexofedine  	Indoxacarb	Fipronil	Cyhalothrin	OP	BPAE	TAI	TAOT	CTC_CTA	BCPS	isoTAC	TAC	4_4_ADP	TMBP	OH_BPA	BPS2	BIS_TMC	BP_8	4_HBP	TCM	DCM	TCE	PCE	CCl4	DBM	12_PFECA	112_PFECA	1112_PFECA	11112_PFECA	13_PFECA	L6	L7	L8	L9	L10	LCCP
NR-2022-06889	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Pumpesump under vask - SLUTT 2					<50	<50	<50	<50	<50	<50	<50	1200	880	<50	<50	<50	13120	<50	<50	<50	<50	<50	<50	<50	<50	<50	9200	7360																																					
NR-2022-06912	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Basseng under rensing dag 14-1					<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	8550	<50														<0.2	<0.8	<0.9	<0.3	<0.7	<0.5	<0.1																	
NR-2022-06913	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Basseng under rensing dag 14-2					<50	<50	<50	<50	<50	<50	<50	650	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	12100	<50														1	<0.7	<0.2	<0.3	<0.2	<0.1																		
NR-2022-06914	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - START des1					<50	84000	<50	<50	34320	1440	<50	3360	<50	<50	<50	<50	21680	<50	<50	<50	<50	<50	<50	<50	<50	71600	63980	16480														2	<0.3	<0.1	<0.3	<0.2	1																		
NR-2022-06930	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - START des1					<50	<50	<50	<50	<50	<50	<50	104	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	255	<50										< 1	< 1	< 0.25	< 5																								163
NR-2022-06915	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - START des2					<50	86400	<50	<50	34480	1760	<50	3150	<50	<50	<50	<50	17440	<50	<50	<50	<50	<50	<50	<50	<50	75200	66950	14880														<0.2	2	<0.3	<0.1	<0.3	<0.2	1																	
NR-2022-06931	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - START des2					<50	<50	<50	<50	<50	<50	<50	96	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	310	<50																																					229
NR-2022-06916	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - UNDERVEIS 1					<50	89600	<50	<50	28400	1760	<50	480	<50	<50	<50	<50	12240	<50	<50	<50	<50	<50	<50	<50	<50	51000	37160	13840														<0.2	1	<0.2	<0.1	0	<0.0	1																	
NR-2022-06932	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - UNDERVEIS 1					<50	960	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	890	<50										< 1	< 1	1	< 5																								74
NR-2022-06917	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - UNDERVEIS 2					<50	85600	<50	<50	35040	1360	<50	3980	<50	<50	<50	<50	19280	<50	<50	<50	<50	<50	<50	<50	<50	78000	122400	18320														<0.1	2	<1.0	<0.3	<3.4	0	1																	
NR-2022-06933	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - UNDERVEIS 2					<50	<50	<50	<50	<50	<50	<50	260	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	460	<50										< 1	< 1	0	< 5																								58
NR-2022-06918	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - SLUTT 1					<50	49760	960	<50	30560	880	<50	4120	<50	<50	<50	<50	19840	<50	<50	<50	<50	<50	<50	<50	<50	69600	98560	20080														<0.1	6	2	<0.1	1	0	4																	
NR-2022-00523	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - SLUTT 1					<50	<50	<50	<50	<50	<50	<50	390	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	155	<50										< 1	< 1	0	< 5																								49
NR-2022-06919	Water_filtered	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - SLUTT 2					<50	92800	1200	<50	35840	1280	<50	4380	<50	<50	<50	<50	16880	<50	<50	<50	<50	<50	<50	<50	<50	72000	65120	20480														<0.1	2	0	<0.1	<0.4	0	1																	
NR-2022-00524	Water	ng/L	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Utslipp renset vann - SLUTT 2					<50	<50	<50	<50	<50	<50	<50	255	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	330	<50										< 1	< 1	0	< 5																								63
NR-2022-06808	Sludge	ng/g	59,905465oN, 10,785367oE				Smestadtunnelen	Tunnel environment	Sandfang innl?p					<1	<1	<1	<1	<1	<1	<1	36.2	33.8	<1	33.5	<1	635	<1	<1	<1	<10	<1	<1	<1	<1	<1	1576	321						12.6	<10	<1	<1	< 0.5	< 0.2	< 0.02	< 0.2	<0.1	1	<0.4	<0.1	<0.3	<188.7	1												0	1	2	2	3	1229
NR-2022-06809	Sludge	ng/g	59.936965 oN, 10.681337 oE				Smestadtunnelen	Tunnel environment	Sandfang innl?p					<1	42.1	<1	9.5	26.7	11.8	<1	40	31	<1	25.4	<1	577	<1	<1	<1	<10	<1	<1	<1	<1	<1	1362	369						10.5	<10	<1	<1																												
NR-2022-06810	Sludge	ng/g	59.936965 oN, 10.681337 oE				Smestadtunnelen	Tunnel environment	Sandfang utl?p					<1	29.5	<1	6.5	46.5	8.5	<1	48.5	61	<1	36.5	<1	955	<1	<1	<1	<10	<1	<1	<1	<1	<1	1770	595						13.5	<10	<1	<1	< 0.5	< 0.2	< 0.02	< 0.2	<0.1	1	0	<0.0	<0.1	<507.3	1												0	1	1	1	1	1729
NR-2022-06811	Sludge	ng/g	59.936965 oN, 10.681337 oE				Smestadtunnelen	Tunnel environment	Sandfang utl?p					<1	28.3	<1	9.7	58	23.1	<1	46.3	62.6	<1	52	<1	1134	<1	<1	<1	<10	<1	<1	<1	<1	<1	1543	2449						17.7	<10	<1	<1																												
NR-2022-06826	Sludge	ng/g	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Rensebasseng					1.9	158	<1	37.8	584	3.4	<1	55	239	<1	53.4	<1	1997	<1	<1	<1	<10	<1	<1	<1	16.9	<1	3503	3053						34.1	<10	<1	<1	< 0.5	< 0.2	0	< 0.2																								4271
NR-2022-06827	Sludge	ng/g	59,905465oN, 10,785367oE				V?lerengatunnelen	Tunnel environment	Rensebasseng					2.1	179	<1	43.3	633	6.4	<1	73.6	255	<1	61.2	<1	1903	<1	<1	<1	<10	<1	<1	<1	13.9	<1	3691	2273						38.5	<10	<1	<1	< 0.5	< 0.2	0	< 0.2																								3700
NR-2022-06812	Sludge	ng/g	59.936965 oN, 10.681337 oE				Smestadtunnelen	Tunnel environment	Smestad feiebil					<1	16	1.5	2.8	1.8	<1	<1	19.5	17.8	<1	4.8	<1	308	<1	<1	<1	<10	<1	<1	<1	9.5	32.3	585	176						6	<10	<1	<1	< 0.5	< 0.2	0	< 0.2	<0.2	0	<0.8	<0.5	<0.2	<0.5	<0.1												0	2	4	4	3	438
NR-2022-06813	Sludge	ng/g	59.936965 oN, 10.681337 oE				Smestadtunnelen	Tunnel environment	Smestad feiebil					<1	14.2	<1	1.9	2.2	<1	<1	15.8	9.7	<1	3.6	<1	212	<1	<1	<1	<10	<1	<1	<1	5.8	29.7	497	81.4						6.4	<10	<1	<1	< 0.5	< 0.2	0	< 0.2	<0.2	0	<0.8	<0.5	<0.2	<0.5	<0.1												0	2	4	4	3	1366
NR-2022-06797	Sediment	ng/g	59.95530, 10.67958			44802	Smestaddammen	Tunnel environment	?vre					<1	<1	<1	<1	2.7	<1	<1	<1	<1	<1	<1	<1	93.7	<1	<1	<1	<10	<1	<1	<1	<1	<1	95	7.7						<1	<10	<1	<1	< 0.5	< 0.2	< 0.02	< 0.2	<0.3	1	<0.2	<0.2	<0.2	28	<0.3																	292
NR-2022-06796	Sediment	ng/g	59.93241, 10.69761			44802	Smestaddammen	Tunnel environment	nedre					<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	<1	49.3	<1	<1	<1	<10	<1	<1	<1	<1	<1	66.6	4.5						<1	<10	<1	<1	< 0.5	< 0.2	< 0.02	< 0.2	<0.1	0	<0.1	<0.2	2	<0.2	<0.3																	587
NR-2022-06866	Water_filtered	ng/L	59.95530, 10.67958			44802	Smestaddammen	Tunnel environment	?vre					0.7	285	<0.5	<0.5	12.7	<0.5	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<2	<1.0	<1.0	<1.0	<1.0	<1.0	15.7	<1.0										< 0.5	0	< 0.5	< 2	<0.0	0	<0.2	<0.1	<0.2	<0.1	<0.1																	
NR-2022-06868	Water	ng/L	59.95530, 10.67958			44802	Smestaddammen	Tunnel environment	?vre					<0.5	5.1	<0.5	<0.5	<0.5	<0.5	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<2	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0																																					4
NR-2022-06867	Water_filtered	ng/L	59.93241, 10.69761			44802	Smestaddammen	Tunnel environment	nedre					0.6	192	<0.5	<0.5	18.8	<0.5	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<2	<1.0	<1.0	<1.0	<1.0	<1.0	11.1	<1.0										< 0.5	0	< 0.5	< 2	<0.1	<0.3	0	<0.1	<0.3	<0.1	<0.1							< 0.5	< 0.5	< 0.5	< 0.5	< 0.5						
NR-2022-06869	Water	ng/L	59.93241, 10.69761			44802	Smestaddammen	Tunnel environment	nedre					<0.5	8.7	<0.5	<0.5	<0.5	<0.5	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<2	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0	<1.0																																					1
NR-2022-07074	Biota	ng/g ww	59.82251, 10.35370			44803	Padderudvannet	Recepient_Freshwater	abbor - lever					<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<2	<0.5	<5	<0.5	<0.5	<0.5	<0.5	<0.5																																2	4	6	10	11	96
NR-2022-07075	Biota	ng/g ww	59.82349, 10.35563			44803	Padderudvannet	Recepient_Freshwater	abbor - lever					<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<2	<0.5	<5	<0.5	<0.5	<0.5	<0.5	<0.5																																2	4	6	14	12	41
NR-2022-07076	Biota	ng/g ww	59.82387, 10.35828			44803	Padderudvannet	Recepient_Freshwater	abbor - lever					<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<2	<0.5	<5	<0.5	<0.5	<0.5	<0.5	<0.5														<0.2	<0.2	<0.2	<0.1	<0.3	1	128												2	4	6	16	11	9
NR-2022-07077	Biota	ng/g ww	59.82349, 10.35563			44803	Padderudvannet	Recepient_Freshwater	andemusling					<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<2	<0.5	<5	<0.5	<0.5	<0.5	<0.5	<0.5														<0.2	0	2	<0.2	<0.6	0	16												2	7	13	19	20	5
NR-2022-07078	Biota	ng/g ww	59.82349, 10.35563			44803	Padderudvannet	Recepient_Freshwater	andemusling					<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<2	<0.5	<5	<0.5	<0.5	<0.5	<0.5	<0.5														<0.2	<0.9	<1.1	<0.2	<0.9	2	11												3	8	8	17	13	36
NR-2022-07079	Biota	ng/g ww	59.82349, 10.35563			44803	Padderudvannet	Recepient_Freshwater	andemusling					<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<2	<0.5	<5	<0.5	<0.5	<0.5	<0.5	<0.5																																2	4	5	24	11	30
NR-2022-06982	Air_particles	ng/m3					Obos1	Artificial grass pitch	Indoor		Kleinfilter									<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	472	74										< 1000	< 1000	< 1000	< 1000																								0
NR-2022-06983	Air_particles	ng/m3					Obos2	Artificial grass pitch	Indoor		Kleinfilter									<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10																																					0
NR-2022-06984	Air_particles	ng/m3					LSK?	Artificial grass pitch	Indoor		Kleinfilter									<10	363	488	<10	<10	<10	1438	<10	<10	<10	<10	<10	<10	<10	<10	872	5501	1619										< 20	< 20	< 20	< 20																								0
NR-2022-07019	Dust	ng	59.059745, 9.638333			44833	Bamble_Skjerk?ya	Tire collection site	Hus n?r skredder					15.7	4089	21	349	477	<10	<10	1263	1177	<10	29	<10	8309	<10	<10	<10	<10	<10	<10	<10	270	317	7025	16540						<10	<30	<10	<10					5	14	1	<0.1	<2.2	0	7																	16113
NR-2022-07020	Dust	ng	59.059745, 9.638333			44833	Bamble_Skjerk?ya	Tire collection site	Utenfor verksted					<10	713	16.5	46.8	102	24.8	<10	536	476	<10	28	<10	3384	<10	<10	<10	<10	<10	<10	<10	<10	569	8556	2889						<10	<30	<10	<10					0	1	1	<0.1	0	<0.1	4																	1680
NR-2022-07021	Dust	ng	59.059745, 9.638333			44833	Bamble_Skjerk?ya	Tire collection site	Ved grabbene					<10	160	<10	13	41.9	23.1	<10	192	140	<10	12	<10	1066	<10	<10	<10	<10	<10	<10	<10	<10	308	2442	335						<10	<30	<10	<10					0	<0.2	1	<0.5	<0.3	<0.2	4																	161
NR-2022-07004	Dust	ng				44614	oslo	Private home	Private home					<10	390	<10	<10	30.6	5.1	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	6233	<10	<10	<10	<10	<10	<10	<10	<30	<10	<10	< 10	< 10	< 10	< 10	0	<0.3	27	<0.1	<0.3	0	3							< 2	< 2	< 2	< 2	< 2						15990
NR-2022-07006	Dust	ng				44739	flateby	Private home	Private home					<10	126	<10	<10	17.4	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	11052	<10	<10	<10	<10	<10	<10	<10	1318	<10	<10	< 10	< 10	< 10	< 10	1	54	11	<0.1	<0.3	3	4							< 2	< 2	< 2	< 2	< 2						11678
NR-2022-07007	Dust	ng				44741	skedsmo	Private home	Private home					<10	77	<10	<10	14.3	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	652	<10	<10	<10	<10	<10	<10	<10	<30	<10	<10	< 10	< 10	< 10	< 10	0	<0.2	1	<0.1	<0.1	1	3							< 2	< 2	< 2	< 2	< 2						29898
NR-2022-07008	Dust	ng				44757	s?rumsand	Private home	Private home					<10	102	<10	<10	55.1	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	658	13	<10	<10	<10	<10	<10	<10	<30	<10	<10					0	5	10	<0.2	<0.5	<2.6	10																	33545
NR-2022-07009	Dust	ng				44782		Private home	Private home					<10	563	<10	12.5	34.6	12.5	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	1426	<10	<10	<10	<10	<10	<10	<10	<30	<10	<10					0	<0.4	11	0	<0.4	0	3																	187208
NR-2022-07010	Dust	ng				44790		Private home	Private home					<10	620	<10	<10	18.4	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	64.7	<10	2755	11	<10	<10	<10	<10	<10	<10	<30	<10	<10					1	<0.6	2	0	<0.6	<1.0	3																	14538
NR-2022-07022	Dust	ng				44905	Odontologisk 5 etj.	Commercial building	Dental clinic					<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	194	<10						<10	4012	<10	<10																							< 90	< 300	< 700	< 1000	< 1000	136383
NR-2022-07023	Dust	ng				44865	Tannlege ?rnes	Commercial building	Dental clinic					<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10						<10	<30	<10	<10																							1422	13279	7094	2260	< 1000	7187
NR-2022-07024	Dust	ng				44845	Mortensrud tannlege	Commercial building	Dental clinic					<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	1542	<10						<10	3865	<10	<10																							< 90	331	769	1188	1273	11442
NR-2022-07013	Dust	ng				44818	Deichman 3D lab	Commercial building	Print 3D					<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	375	<10						<10	<30	<10	<10					<0.2	0	1	0	<0.7	<0.3	13												< 90	580	< 700	< 1000	< 1000	4970
NR-2022-07014	Dust	ng				44784	CIENS	Commercial building	Print 3D					<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	377	169						<10	<30	<10	<10					<0.2	0	1	<0.2	<0.6	<0.3	7												< 90	< 300	< 700	< 1000	< 1000	4674
NR-2022-07015	Dust	ng				44631	Nordic ?kern	Commercial building	Print 3D					<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	1100	<10						<10	<30	<10	<10					<0.2	6	1	<0.2	<0.9	<0.4	11												< 90	< 300	< 700	< 1000	< 1000	6635
NR-2022-07016	Dust	ng				44797	IKEA lager	Commercial building	Furniture store					<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	18334	23.8						<10	<30	<10	<10					<0.2	15	2	<0.2	<0.9	0	15												< 90	348	742	< 1000	< 1000	21743
NR-2022-07017	Dust	ng				44797	IKEA stue	Commercial building	Furniture store					<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	7792	<10						<10	<30	<10	<10					<0.3	1	<1.7	<0.4	<1.5	0	40												96	457	790	1190	< 1000	60945
NR-2022-07018	Dust	ng				44860	?rnes m?bler	Commercial building	Furniture store					<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	1928	<10						<10	<30	<10	<10					0	0	8	<0.2	<0.7	<0.3	10												724	1560	2080	1664	1013	5951
NR-2022-06978	Air	ng/m3				6-9/9-2022	Sofienbergparken	Urban park	Sofienbergparken	Summer_Weekday				<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10						<10	<30	<10	<10	< 0.05	< 0.1	0	< 5	<0.2	<0.2	<0.2	<0.2	<0.2	<0.2	<0.2												259	202	85	26	6	<100
NR-2022-06967	Air_particles	ng/m3				6-9/9-2022	Sofienbergparken	Urban park	Sofienbergparken	Summer_Weekday				<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	82	<10	<10	<10	<10	<10	<10	<10	<10	<10	1840	<10						50.9	<30	<10	<10	< 0.005	< 0.001	< 0.001	< 0.001	<2.9	2	0	<2.6	0	24													< 0.003	< 0.01	< 0.04	< 0.06	< 0.05	0
NR-2022-06979	Air	ng/m3				9-13/9-2022	Sofienbergparken	Urban park	Sofienbergparken	Summer_Weekend				<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10						<10	<30	<10	<10	< 0.05	< 0.1	0	< 5	<0.2	<0.2	<0.2	<0.2	<0.2	<0.2	<0.2												175	144	61	20	5	<100
NR-2022-06968	Air_particles	ng/m3				??	Sofienbergparken	Urban park	Sofienbergparken	Summer_Weekend				<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	1261	<10						312	<30	<10	<10	< 0.005	< 0.001	< 0.001	< 0.001	0	0	3	<0.7	<3.1	1	22												< 0.003	< 0.01	< 0.04	< 0.06	< 0.05	0
NR-2022-06980	Air	ng/m3				??	Sofienbergparken	Urban park	Sofienbergparken	Summer_Weekday				<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10						<10	<30	<10	<10	< 0.05	< 0.1	1	< 5	<0.2	<0.2	<0.2	<0.2	<0.2	<0.2	<0.2												147	137	52	15	8	<100
NR-2022-06976	Air_particles	ng/m3				??	Sofienbergparken	Urban park	Sofienbergparken	Winter_Weekday				<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	226	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10						226	<30	<10	<10	< 0.005	< 0.001	< 0.001	< 0.001	0	29	127	0	<2.1	3	182												0	0	0	0	< 0.05	0
NR-2022-06981	Air	ng/m3				??	Sofienbergparken	Urban park	Sofienbergparken	Summer_Weekend				<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10						<10	<30	<10	<10					<0.2	<0.2	<0.2	<0.2	<0.2	<0.2	<0.2																	<100
NR-2022-06977	Air_particles	ng/m3				??	Sofienbergparken	Urban park	Sofienbergparken	Winter_Weekend				<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	148	<10	<10	<10	<10	<10	<10	<10	<10	<10	413	84.7						286	<30	<10	<10	< 0.005	< 0.001	< 0.001	< 0.001	2	11	144	0	1	<2.1	157												0	0	0	0	< 0.05	0
NR-2022-06973	Air_particles	ng/m3				20-23/9-2022	Smestad	Trafficked road	Smestad	Summer_Weekday				<10	1039	<10	<10	<10	<10	<10	157	52.4	<10	<10	<10	428	<10	<10	<10	<10	<10	<10	<10	<10	157	10480	105						690	<30	<10	<10																												0
NR-2022-06971	Air_particles	ng/m3				20-23/9-2022	E6 Al 	Trafficked road	E6 Al 	Summer_Weekday				<10	705	<10	<10	<10	<10	<10	102	53.8	<10	<10	<10	400	<10	<10	<10	<10	<10	<10	<10	<10	108	7291	102						616	<30	<10	<10																												0
NR-2022-06970	Air_particles	ng/m3				12-15/9-2022	Hjortnes	Trafficked road	Hjortnes	Summer_Weekday				<10	713	<10	<10	<10	<10	<10	64.3	40.9	<10	<10	<10	269	<10	<10	<10	<10	<10	<10	<10	<10	64.3	1362	380						497	<30	<10	<10																												0
NR-2022-06974	Air_particles	ng/m3				23-26/9-2022	Smestad	Trafficked road	Smestad	Summer_Weekday				<10	315	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	129	<10	<10	<10	<10	<10	<10	<10	<10	56.6	2950	331						162	<30	<10	<10																												0
NR-2022-06972	Air_particles	ng/m3				23-26/9-2022	E6 Al 	Trafficked road	E6 Al 	Summer_Weekday				<10	252	<10	<10	<10	<10	<10	47.2	<10	<10	<10	<10	173	<10	<10	<10	<10	<10	<10	<10	<10	57.7	2766	47.2						341	<30	<10	<10																												0
NR-2022-06969	Air_particles	ng/m3				9-12/9-2022	Hjortnes	Trafficked road	Hjortnes	Summer_Weekday				<10	220	<10	<10	<10	<10	<10	103	<10	<10	<10	<10	142	<10	<10	<10	<10	<10	<10	<10	<10	<10	2599	<10						116	<30	<10	<10																							< 0.003	< 0.01	< 0.04	< 0.06	< 0.05	
NR-2022-06990	Air_particles	ng/m3				??	Smestad	Trafficked road	Smestad	Winter_Weekday				<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	156	<10	<10	<10	<10	<10	<10	<10	<10	364	304	<10						74.2	<30	<10	<10																												0
NR-2022-06988	Air_particles	ng/m3				??	E6 Al 	Trafficked road	E6 Al 	Winter_Weekday				<10	90.1	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	109	<10	<10	<10	<10	<10	<10	<10	<10	303	341	77.3						135	<30	<10	<10																												0
NR-2022-06987	Air_particles	ng/m3				??	Hjortnes	Trafficked road	Hjortnes	Winter_Weekday				<10	196	<10	<10	<10	<10	<10	43.5	65.2	<10	<10	<10	810	<10	<10	<10	<10	<10	<10	<10	<10	48.9	1136	120						70.7	<30	<10	<10																												0
NR-2022-06991	Air_particles	ng/m3				??	Smestad	Trafficked road	Smestad	Winter_Weekend				<10	41	<10	<10	<10	<10	<10	76.1	<10	<10	<10	<10	223	<10	<10	<10	<10	<10	<10	<10	<10	129	158	<10						52.7	<30	<10	<10																												0
NR-2022-06989	Air_particles	ng/m3				??	E6 Al 	Trafficked road	E6 Al 	Winter_Weekend				<10	56.4	<10	<10	<10	<10	<10	<10	<10	<10	<10	<10	87.1	<10	<10	<10	<10	<10	<10	<10	<10	82	215	<10						133	<30	<10	<10																												0
NR-2022-06986	Air_particles	ng/m3				??	Hjortnes	Trafficked road	Hjortnes	Winter_Weekend				<10	464	<10	<10	<10	<10	<10	99	115	<10	<10	<10	1245	<10	<10	<10	<10	<10	<10	<10	<10	46.9	2824	245						115	<30	<10	<10																												0
NR-2022-06946	Air	ng/m3				12-13/10-2022	Odontlologisk 5 etj.	Commercial building	Dental clinic																																						< 0.1	< 0.2	0	< 5																			139	91	45	91	6	
NR-2022-06947	Air	ng/m3				31/10-1/11-2022	Tannlege ?rnes	Commercial building	Dental clinic																																						< 0.1	< 0.2	1	< 5																			1609	2233	1069	250	12	
NR-2022-06948	Air	ng/m3				10-11/11-2022	Mortensrud tannleg	Commercial building	Dental clinic																																						< 0.1	< 0.2	3	< 5																			212	298	189	60	7	
NR-2022-06949	Air	ng/m3				44846	Odontlologisk 5 etj.	Commercial building	Dental clinic																																																																	
NR-2022-06950	Air	ng/m3				44865	Tannlege ?rnes	Commercial building	Dental clinic																																																																	
NR-2022-06954	Air	ng/m3				44734	Jenny Nilu	Private home	Private home																																						< 0.05	< 0.1	1	< 5																								
NR-2022-06955	Air	ng/m3				44739	Monika NILU	Private home	Private home																																						< 0.05	< 0.1	1	< 5																								
NR-2022-06956	Air	ng/m3				44741	Hundedagpass	Private home	Private home																																						< 0.05	< 0.1	3	< 5																								
